"Sample1","Sample2","Distance","Study1","Study2"
521469,455521,0.214239678226131,"SDY478","SDY113"
521470,455521,0.216483737898488,"SDY478","SDY113"
521471,455521,0.15252501258079,"SDY478","SDY113"
521472,455521,0.138865670723143,"SDY478","SDY113"
521473,455521,0.172921957462353,"SDY478","SDY113"
521474,455521,0.173730289430608,"SDY478","SDY113"
521475,455521,0.194149413333724,"SDY478","SDY113"
521476,455521,0.221406596816907,"SDY478","SDY113"
521477,455521,0.177891439337937,"SDY478","SDY113"
521478,455521,0.167271843023639,"SDY478","SDY113"
521479,455521,0.179447973520461,"SDY478","SDY113"
521480,455521,0.154382813850928,"SDY478","SDY113"
521481,455521,0.149336060056855,"SDY478","SDY113"
521482,455521,0.23304552378713,"SDY478","SDY113"
521483,455521,0.183176599192308,"SDY478","SDY113"
521484,455521,0.192161997150836,"SDY478","SDY113"
521485,455521,0.169199128362445,"SDY478","SDY113"
521486,455521,0.208032310539924,"SDY478","SDY113"
521487,455521,0.157168904854704,"SDY478","SDY113"
521488,455521,0.184246426968533,"SDY478","SDY113"
521489,455521,0.227013585956664,"SDY478","SDY113"
521490,455521,0.202295623433451,"SDY478","SDY113"
521491,455521,0.185503718918739,"SDY478","SDY113"
521492,455521,0.163483250753255,"SDY478","SDY113"
521493,455521,0.201441984148403,"SDY478","SDY113"
521494,455521,0.201497125145246,"SDY478","SDY113"
521495,455521,0.194535303818678,"SDY478","SDY113"
521496,455521,0.197634106372677,"SDY478","SDY113"
521497,455521,0.193525544291245,"SDY478","SDY113"
521498,455521,0.202791216476057,"SDY478","SDY113"
521499,455521,0.181121161752199,"SDY478","SDY113"
521500,455521,0.200219053643887,"SDY478","SDY113"
521501,455521,0.198094838724492,"SDY478","SDY113"
521502,455521,0.190796850208834,"SDY478","SDY113"
521503,455521,0.190500213418374,"SDY478","SDY113"
521504,455521,0.167180228903367,"SDY478","SDY113"
521505,455521,0.178124251335817,"SDY478","SDY113"
521895,455521,0.216397672442662,"SDY515","SDY113"
521896,455521,0.270509185956953,"SDY515","SDY113"
521897,455521,0.188704312711238,"SDY515","SDY113"
521898,455521,0.235212204938155,"SDY515","SDY113"
521899,455521,0.253000522602867,"SDY515","SDY113"
521900,455521,0.266810977999127,"SDY515","SDY113"
521901,455521,0.142041585636828,"SDY515","SDY113"
521902,455521,0.225458334400503,"SDY515","SDY113"
521903,455521,0.201107862016016,"SDY515","SDY113"
521905,455521,0.22097837323576,"SDY515","SDY113"
521906,455521,0.209089794768854,"SDY515","SDY113"
521907,455521,0.190720719733495,"SDY515","SDY113"
521908,455521,0.193187452960477,"SDY515","SDY113"
521909,455521,0.218641933217609,"SDY515","SDY113"
521911,455521,0.179437364303451,"SDY515","SDY113"
521912,455521,0.238400862448793,"SDY515","SDY113"
521913,455521,0.188630897095875,"SDY515","SDY113"
521914,455521,0.202649269808546,"SDY515","SDY113"
521915,455521,0.152434643665611,"SDY515","SDY113"
521916,455521,0.26174593064186,"SDY515","SDY113"
521917,455521,0.204873749033691,"SDY515","SDY113"
521918,455521,0.281291373778038,"SDY515","SDY113"
521919,455521,0.19289143547888,"SDY515","SDY113"
521920,455521,0.252923392023162,"SDY515","SDY113"
521921,455521,0.267291216220493,"SDY515","SDY113"
521922,455521,0.206740787781403,"SDY515","SDY113"
521923,455521,0.191173531638908,"SDY515","SDY113"
521924,455521,0.176067396412036,"SDY515","SDY113"
521925,455521,0.207549487386548,"SDY515","SDY113"
521926,455521,0.176728738055821,"SDY515","SDY113"
521927,455521,0.165617335907937,"SDY515","SDY113"
521928,455521,0.224181997869492,"SDY515","SDY113"
521929,455521,0.189073966195528,"SDY515","SDY113"
521930,455521,0.184783865490855,"SDY515","SDY113"
521931,455521,0.200806941703954,"SDY515","SDY113"
521932,455521,0.239617796953258,"SDY515","SDY113"
521933,455521,0.20684249288898,"SDY515","SDY113"
521934,455521,0.166926339229354,"SDY515","SDY113"
521935,455521,0.238862697800806,"SDY515","SDY113"
521936,455521,0.200981018700182,"SDY515","SDY113"
521937,455521,0.194786403509827,"SDY515","SDY113"
521938,455521,0.250325543217265,"SDY515","SDY113"
521939,455521,0.183370450360068,"SDY515","SDY113"
521940,455521,0.198089298607235,"SDY515","SDY113"
521941,455521,0.200919106543508,"SDY515","SDY113"
521942,455521,0.223250545043579,"SDY515","SDY113"
521943,455521,0.268796166354733,"SDY515","SDY113"
521944,455521,0.279380518262567,"SDY515","SDY113"
521945,455521,0.200284742276377,"SDY515","SDY113"
521946,455521,0.221296659156753,"SDY515","SDY113"
521947,455521,0.264106129705777,"SDY515","SDY113"
521948,455521,0.178974797637738,"SDY515","SDY113"
521949,455521,0.216872200243382,"SDY515","SDY113"
521950,455521,0.202257810621251,"SDY515","SDY113"
521951,455521,0.19214088608202,"SDY515","SDY113"
521952,455521,0.20141794982603,"SDY515","SDY113"
