"tier","n_ref","repeat_id","ari","auc_both","auc_prop","auc_mean","recon_mse","ref_samples"
"Bottom 10%",2,57,0.86200642987451,0.676190476190476,0.636904761904762,0.684523809523809,0.00301416681157034,"224, 251"
"Bottom 10%",2,58,0.735502911511323,0.621428571428571,0.679761904761905,0.595238095238095,0.00276626401140698,"251, 587"
"Bottom 10%",2,59,0.837390642391287,0.605952380952381,0.698809523809524,0.573809523809523,0.00329990983537672,"551, 92"
"Bottom 10%",2,60,0.85641750282822,0.692857142857143,0.645238095238095,0.676190476190476,0.00280752193944989,"551, 251"
"Bottom 10%",2,61,0.851775400369139,0.670238095238095,0.733333333333334,0.609523809523809,0.00253463725276889,"771, 224"
"Bottom 10%",2,62,0.86110839765183,0.654761904761905,0.754761904761905,0.634523809523809,0.00299478348637956,"230, 587"
"Bottom 10%",2,63,0.856750197135263,0.736904761904762,0.591666666666666,0.730952380952381,0.00260119640001831,"251, 770"
"Bottom 10%",2,64,0.831332104599776,0.684523809523809,0.682142857142857,0.613095238095238,0.00303710767373811,"771, 770"
"Bottom 10%",2,65,0.851367944508164,0.617857142857142,0.634523809523809,0.533333333333333,0.00335200328080928,"525, 258"
"Bottom 10%",2,66,0.859486147485324,0.695238095238095,0.721428571428572,0.435714285714286,0.00293627051015945,"255, 525"
"Bottom 10%",2,67,0.861650607483624,0.582142857142857,0.685714285714286,0.478571428571428,0.00319135141759128,"770, 525"
"Bottom 10%",2,68,0.799615622711313,0.670238095238095,0.767857142857143,0.603571428571428,0.0029225801620954,"230, 771"
"Bottom 10%",2,69,0.85344329755527,0.710714285714286,0.735714285714286,0.605952380952381,0.00289380619511777,"251, 771"
"Bottom 10%",2,70,0.843963700296934,0.714285714285714,0.725,0.673809523809524,0.00271428987157509,"551, 587"
"Bottom 10%",2,71,0.857555658232917,0.682142857142857,0.752380952380952,0.554761904761905,0.00323653053038758,"92, 771"
"Bottom 10%",2,72,0.799615622711313,0.670238095238095,0.767857142857143,0.603571428571428,0.0029225801620954,"771, 230"
"Bottom 10%",2,73,0.833720124443827,0.708333333333333,0.742857142857143,0.659523809523809,0.00311163967486974,"255, 258"
"Bottom 10%",2,74,0.794460566864047,0.679761904761905,0.729761904761905,0.611904761904762,0.00287216883863585,"250, 525"
"Bottom 10%",2,75,0.859323620181976,0.65952380952381,0.607142857142857,0.65952380952381,0.00379163891051234,"770, 551"
"Bottom 10%",2,76,0.850710765830681,0.621428571428571,0.616666666666666,0.609523809523809,0.00271755812604752,"92, 587"
"Bottom 10%",2,77,0.861650607483624,0.582142857142857,0.685714285714286,0.478571428571428,0.00319135141759128,"770, 525"
"Bottom 10%",2,78,0.851367944508164,0.617857142857142,0.634523809523809,0.533333333333333,0.00335200328080928,"258, 525"
"Bottom 10%",2,79,0.845136036156456,0.632142857142857,0.638095238095238,0.61547619047619,0.00302500891539656,"255, 230"
"Bottom 10%",2,80,0.851367944508164,0.617857142857142,0.634523809523809,0.533333333333333,0.00335200328080928,"525, 258"
